"taxon_code","gbif_accepted_taxon_id","gbif_accepted_scientific_name","Idlevel"
"CHRYMI-Chrysophyllum minor",2885576,"Chrysophyllum","genus"
"CHRYOV-Chrysophyllum ovale",2885929,"Chrysophyllum ovale","species"
"CHRYTR-Chrysophyllum tremi",2885576,"Chrysophyllum","genus"
"CHRYVE-Chrysophyllum venezuelanense",2885671,"Chrysophyllum venezuelanense","species"
"CINNNA-Cinnamomum napoense",10119470,"Aiouea napoensis","species"
"CINNOP-Licaria oppretic",3033969,"Licaria","genus"
"CINNTR-Cinnamomum triplinerve",9671278,"Aiouea montana","species"
"CITHPO-Citharexylum poeppigii",7297664,"Citharexylum poeppigii","species"
"CLARBI-Clarisia biflora",7262852,"Clarisia biflora","species"
"CLARRA-Clarisia racemosa",5572170,"Clarisia racemosa","species"
"CLAVDE-Clavija delgada",7313189,"Clavija","genus"
"CLAVPR-Clavija procera",3585576,"Clavija procera","species"
"CLAVWE-Clavija weberbaueri",3585486,"Clavija weberbaueri","species"
"CLIDDI-Clidemia dimorphica",10773334,"Miconia dimorphica","species"
"COCCCO-Coccoloba cordi",2888822,"Coccoloba","genus"
"COCCDE-Coccoloba densifrons",4032930,"Coccoloba densifrons","species"
"COCCGI-Coccoloba gigante",2888822,"Coccoloba","genus"
"COCCJI-Coccoloba jill",2888822,"Coccoloba","genus"
"COCCLA-Coccoloba lancifuzz",2888822,"Coccoloba","genus"
"COCCMO-Coccoloba mollis",4037525,"Coccoloba mollis","species"
"COCCNI-Coccoloba ninfi",2888822,"Coccoloba","genus"
"COCCPA-Coccoloba papel",2888822,"Coccoloba","genus"
"COCCPB-Coccoloba puntoblanco",2888822,"Coccoloba","genus"
"COCCPU-Coccoloba puntonegro",2888822,"Coccoloba","genus"
"COCCSU-Coccoloba subscab",2888822,"Coccoloba","genus"
"COLUAR-Colubrina arbol",3039524,"Colubrina","genus"
"COMPCA-Compsoneura capitellata",5564567,"Compsoneura capitellata","species"
"COMPUL-Compsoneura ulei",5564439,"Compsoneura ulei","species"
"CONCRH-Conceveiba rhytidocarpa",3074954,"Conceveiba rhytidocarpa","species"
"CORDAL-Cordia alliodora",7649215,"Cordia alliodora","species"
"CORDBU-Cordia buladent",2900865,"Cordia","genus"
"CORDCH-Cordia chamissoniana",7294411,"Cordia chamissoniana","species"
"CORDCO-Cordia collococca",5341261,"Cordia collococca","species"
"CORDHE-Cordia hebeclada",5661992,"Cordia hebeclada","species"
"CORDJO-Cordia joli",2900865,"Cordia","genus"
"CORDKI-Cordia kingstoniana",5661797,"Cordia kingstoniana","species"
"CORDNO-Cordia nodosa",7295069,"Cordia nodosa","species"
"CORDUC-Cordia ucayaliensis",5660461,"Cordia ucayaliensis","species"
"COSSOR-Coussapoa orthoneura",4013222,"Coussapoa orthoneura","species"
"COUEOB-Couepia obovata",2984827,"Couepia obovata","species"
"COUEPA-Couepia parillo",8975055,"Gaulettia parillo","species"
"COURGU-Couroupita guianensis",3082562,"Couroupita guianensis","species"
"COUSBR-Coussarea brevi",2904739,"Coussarea","genus"
"COUSCE-Coussarea cephaeloides",2904910,"Coussarea cephaeloides","species"
"COUSDU-Coussarea dulcifolia",2904851,"Coussarea dulcifolia","species"
"COUSKL-Coussarea klugii",2904863,"Coussarea klugii","species"
"COUTGU-Couratari guianensis",3083111,"Couratari guianensis","species"
"CREMCA-Cremastosperma cauliflorum",3154030,"Cremastosperma cauliflorum","species"
"CREMGR-Cremastosperma gracilipes",3154032,"Cremastosperma gracilipes","species"
"CREPGO-Crepidospermum goudotianum",3992710,"Crepidospermum goudotianum","species"
"CREPRH-Crepidospermum rhoifolium",3992648,"Crepidospermum rhoifolium","species"
"CROTLE-Croton lechleri",3057776,"Croton lechleri","species"
"CRYPNO-Cryptocarya yasuniensis",8132198,"Cryptocarya yasuniensis","species"
"CUATGL-Cuatresia glabra",7299697,"Cuatresia","genus"
"CUPACI-Cupania cinerea",3785984,"Cupania cinerea","species"
"CUPALI-Cupania livida",3785240,"Cupania livida","species"
"CYATLA-Cyathea lasiosora",3598409,"Cyathea lasiosora","species"
"CYATPU-Cyathea pungens",2650287,"Cyathea pungens","species"
"CYBIAN-Cybianthus anthuriophyllus",3718992,"Cybianthus anthuriophyllus","species"
"CYBIPE-Cybianthus perseon",3169407,"Cybianthus","genus"
"CYMBCO-Cymbopetalum coriaceum",3157862,"Cymbopetalum coriaceum","species"
"CYPHME-Solanum membra",2928997,"Solanum","genus"
"CYPHPI-Solanum calidum",2932293,"Solanum calidum","species"
"DACRGO-Dacryodes gorda",3190454,"Dacryodes","genus"
