"Familia.APGIV","Familia","NombreActual","Authors","NombreMemoria","CODIGO","CodigoPBDY_18","FormaPBDY_2018","Forma_2015","NumRec_2018","MinYear_2018","MaxYear_2018","UserNotes2018","gbif_accepted_scientific_name","gbif_accepted_taxon_id","taxon_code"
"Achariaceae","Flacourtiaceae","Carpotroche longifolia","(Poepp.) Benth.","Carpotroche longifolia","CAR3LO","CARPLO","S","SL",26,2002,2017,"","Carpotroche longifolia",7274065,"CAR3LO-CARPLO-Carpotroche longifolia"
"Achariaceae","Flacourtiaceae","Lindackeria paludosa","(Benth.) Gilg","Lindackeria paludosa","LINDPA","LINDPA","M","TM",585,2000,2018,"","Lindackeria paludosa",3879608,"LINDPA-Lindackeria paludosa"
"Achariaceae","Flacourtiaceae","Mayna odorata","Aubl.","Mayna odorata","MAYNOD","MAYNOD","S","SL",6,2001,2015,"","Mayna odorata",3878638,"MAYNOD-Mayna odorata"
"Achariaceae","Flacourtiaceae","Mayna yasuniana","Á.J. Pérez & Liesner & D. Santam.","Mayna 'anelio'","MAYNAN","MAYNAN","S","SL",1,2003,2003,"New plot ID in 2018 as yasuniana. Temp-name was 'anelio' 2001-2014.","Mayna yasuniana",10864684,"MAYNAN-Mayna 'anelio'"
"Anacardiaceae","Anacardiaceae","Astronium graveolens","Jacq.","Astronium 'comun'","AST2CO","ASTRGR","T","TC",59,2000,2018,"","Astronium graveolens",7321588,"AST2CO-ASTRGR-Astronium 'comun'"
"Anacardiaceae","Anacardiaceae","Spondias mombin","L.","Spondias mombin","SPONMO","SPONMO","T","TC",1338,2000,2018,"","Spondias mombin",8185571,"SPONMO-Spondias mombin"
"Anacardiaceae","Anacardiaceae","Tapirira guianensis","Aubl.","Tapirira guianensis","TAPIGU","TAPIGU","T","TC",658,2000,2018,"","Tapirira guianensis",7321555,"TAPIGU-Tapirira guianensis"
"Annonaceae","Annonaceae","Anaxagorea brevipes","Benth.","Anaxagorea brevipes","ANAXBR","ANAXBR","U","TU",121,2000,2017,"","Anaxagorea brevipes",3156884,"ANAXBR-Anaxagorea brevipes"
"Annonaceae","Annonaceae","Annona ambotay","Aubl.","Annona ambotay","ANNOAM","ANNOAM","M","TM",1,2017,2017,"","Annona ambotay",5407112,"ANNOAM-Annona ambotay"
"Annonaceae","Annonaceae","Annona glomerulifera","(Maas & Westra) H. Rainer","Rollinia cuspidata","ROLLCU","ROLLCU","U","TU",11,2000,2007,"Tree near trap 163 is A. glomerulifera but identity at other traps not yet confirmed.","Annona glomerulifera",5541639,"ROLLCU-Rollinia cuspidata"
"Annonaceae","Annonaceae","Annona dolichopetala","(R.E. Fr.) H. Rainer","Rollinia 'palida'","ROLLPA","ROLLDO","M","TM",173,2000,2017,"","Annona dolichopetala",5541645,"ROLLPA-ROLLDO-Rollinia 'palida'"
"Annonaceae","Annonaceae","Annona edulis","(Triana & Planch.) H. Rainer","Guatteria 'gransmoothie'","GUATG2","GUATGS","T","TC",2,2003,2016,"","Annona edulis",5541644,"GUATG2-GUATGS-Guatteria 'gransmoothie'"
"Annonaceae","Annonaceae","Annona 'flacaglabra'","","Rollinia 'flacaglabra'","ANNOFL","ROLLFL","S","SL",3,2016,2017,"","Annona",3155252,"ANNOFL-ROLLFL-Rollinia 'flacaglabra'"
"Annonaceae","Annonaceae","Annona 'mosaic'","","Annona 'mosaic'","ANNOMO","ANNOMO","T","TC",5,2000,2017,"","Annona",3155252,"ANNOMO-Annona 'mosaic'"
"Annonaceae","Annonaceae","Annona neochrysocarpa","H. Rainer","Rollinia chrysocarpa","ROLLCH","ROLLCH","S","SL",1,2007,2007,"","Annona neochrysocarpa",5541619,"ROLLCH-Rollinia chrysocarpa"
"Annonaceae","Annonaceae","Annona papilionella","(Diels) H. Rainer","Rollinia pittieri","ROLLPI","ROLLPI","T","TC",391,2000,2018,"","Annona papilionella",5541609,"ROLLPI-Rollinia pittieri"
"Annonaceae","Annonaceae","Cremastosperma cauliflorum","R.E. Fr.","Cremastosperma 'brilla'","CREMBR","CREMCA","U","TM",5,2001,2017,"","Cremastosperma cauliflorum",3154030,"CREMBR-CREMCA-Cremastosperma 'brilla'"
"Annonaceae","Annonaceae","Cremastosperma gracilipes","R.E. Fr.","Cremastosperma gracilipes","CREMGR","CREMGR","S","SL",2,2015,2015,"","Cremastosperma gracilipes",3154032,"CREMGR-Cremastosperma gracilipes"
"Annonaceae","Annonaceae","Cymbopetalum coriaceum","N.A. Murray","Cymbopetalum coriaceum","CYM1CO","CYMBCO","S","SL",2,2015,2015,"","Cymbopetalum coriaceum",3157862,"CYM1CO-CYMBCO-Cymbopetalum coriaceum"
"Annonaceae","Annonaceae","Duguetia 'cortaten'","","Duguetia 'cortaten'","DUGUCO","DUGUCO","T","TC",19,2002,2012,"","Duguetia",3157467,"DUGUCO-Duguetia 'cortaten'"
"Annonaceae","Annonaceae","Duguetia hadrantha","(Diels) R.E. Fr.","Duguetia hadrantha","DUGUHA","DUGUHA","U","TU",428,2000,2017,"","Duguetia hadrantha",3157624,"DUGUHA-Duguetia hadrantha"
"Annonaceae","Annonaceae","Duguetia quitarensis","Benth.","Duguetia quitarensis","DUGUQU","DUGUQU","M","TM",89,2002,2018,"","Duguetia quitarensis",3157592,"DUGUQU-Duguetia quitarensis"
"Annonaceae","Annonaceae","Duguetia spixiana","Mart.","Duguetia spixiana","DUGUSP","DUGUSP","M","TM",5,2008,2014,"","Duguetia spixiana",3157492,"DUGUSP-Duguetia spixiana"
"Annonaceae","Annonaceae","Guatteria asplundiana","R.E. Fr.","Guatteria 'grande'","GUATG1","GUATGR","T","TC",154,2000,2018,"","Guatteria asplundiana",3155688,"GUATG1-GUATGR-Guatteria 'grande'"
"Annonaceae","Annonaceae","Guatteria glaberrima","R.E. Fr.","Guatteria 'tipica'","GUATT2","GUATGL","T","TM",182,2000,2018,"","Guatteria modesta",3155844,"GUATT2-GUATGL-Guatteria 'tipica'"
"Annonaceae","Annonaceae","Guatteria multivenia","Diels","Guatteria multivenia","GUATMU","GUATMU","M","TM",31,2000,2017,"","Guatteria guianensis",3155818,"GUATMU-Guatteria multivenia"
"Annonaceae","Annonaceae","Guatteria 'punctomarron'","","Guatteria 'punctomarron'","GUATP2","GUATPC","T","TC",475,2000,2018,"","Guatteria",3155604,"GUATP2-GUATPC-Guatteria 'punctomarron'"
"Annonaceae","Annonaceae","Guatteria recurvisepala","R.E. Fr.","Guatteria 'rolin'","GUATRO","GUATRE","M","TM",610,2000,2017,"","Guatteria recurvisepala",3155658,"GUATRO-GUATRE-Guatteria 'rolin'"
"Annonaceae","Annonaceae","Guatteria scalarinervia","D.R. Simpson","Guatteria 'pulvinada'","GUATP1","GUATPU","M","TM",964,2000,2018,"","Guatteria scalarinervia",3155628,"GUATP1-GUATPU-Guatteria 'pulvinada'"
"Annonaceae","Annonaceae","Guatteria sp. E","","Guatteria sp. E","GUAT_E","","","T?",20,2000,2011,"","Guatteria",3155604,"GUAT_E-Guatteria sp. E"
"Annonaceae","Annonaceae","Guatteria sp. J","","Guatteria sp. J","GUAT_J","","","T?",10,2000,2011,"","Guatteria",3155604,"GUAT_J-Guatteria sp. J"
"Annonaceae","Annonaceae","Guatteria sp. R","","Guatteria sp. R","GUAT_R","","","T?",2,2003,2011,"","Guatteria",3155604,"GUAT_R-Guatteria sp. R"
"Annonaceae","Annonaceae","Guatteria stipitata","R.E. Fr.","Guatteria 'cachorro'","GUATCA","GUATCI","M","TM",26,2001,2017,"","Guatteria stipitata",3155931,"GUATCA-GUATCI-Guatteria 'cachorro'"
"Annonaceae","Annonaceae","Oxandra mediocris","Diels","Oxandra mediocris","OXANME","OXANME","M","TM",68,2000,2016,"","Oxandra mediocris",3154783,"OXANME-Oxandra mediocris"
"Annonaceae","Annonaceae","Oxandra riedeliana","R.E. Fr.","Oxandra riedeliana","OXANRI","OXANRI","M","TM",66,2000,2016,"","Oxandra riedeliana",3154743,"OXANRI-Oxandra riedeliana"
"Annonaceae","Annonaceae","Pseudomalmea diclina","(R.E. Fr.) Chatrou","Pseudomalmea diclina","PSE2DI","PSEDDI","T","TC",248,2000,2018,"","Pseudomalmea diclina",3153991,"PSE2DI-PSEDDI-Pseudomalmea diclina"
"Annonaceae","Annonaceae","Ruizodendron ovale","(Ruiz & Pav.) R.E. Fr.","Ruizodendron ovale","RUIZOV","RUIZOV","T","TC",12,2001,2016,"","Ruizodendron ovale",3154066,"RUIZOV-Ruizodendron ovale"
"Annonaceae","Annonaceae","Trigynaea triplinervis","D.M. Johnson & N.A. Murray","Trigynaea triplinervis","TRI3TR","TRIGTR","U","TU",29,2000,2017,"","Trigynaea triplinervis",3154853,"TRI3TR-TRIGTR-Trigynaea triplinervis"
"Annonaceae","Annonaceae","Unonopsis floribunda","Diels","Unonopsis floribunda","UNONFL","UNONFL","M","TM",7,2007,2017,"","Unonopsis floribunda",3157782,"UNONFL-Unonopsis floribunda"
"Annonaceae","Annonaceae","Unonopsis sp. C","","Unonopsis sp. C","UNON_C","","","T?",2,2000,2001,"","Unonopsis",3157765,"UNON_C-Unonopsis sp. C"
"Annonaceae","Annonaceae","Unonopsis veneficiorum","(Mart.) R.E. Fr.","Unonopsis 'venefalso'","UNONVE","UNONVE","U","TU",494,2000,2018,"","Unonopsis veneficiorum",3157823,"UNONVE-Unonopsis 'venefalso'"
"Annonaceae","Annonaceae","Xylopia cuspidata","Diels","Xylopia cuspidata","XYL1CU","XYLOCU","S","TU",3,2000,2007,"","Xylopia cuspidata",3157048,"XYL1CU-XYLOCU-Xylopia cuspidata"
"Annonaceae","Annonaceae","Xylopia sericea","A. St.-Hil.","Xylopia 'ligu'","XYL1LI","XYLOLI","T","TC",393,2000,2017,"","Xylopia sericea",3157040,"XYL1LI-XYLOLI-Xylopia 'ligu'"
"Apocynaceae","Apocynaceae","Allomarkgrafia sp.","","Apocynaceae sp. OF","APO_OF","","","CW",369,2003,2018,"Very common in traps. Either a new species or new to Ecuador.","Allomarkgrafia",7316765,"APO_OF-Apocynaceae sp. OF"
"Apocynaceae","Apocynaceae","Apocynaceae sp. AD","","Apocynaceae sp. AD","APO_AD","","","CW",1,2001,2001,"","Apocynaceae",6701,"APO_AD-Apocynaceae sp. AD"
"Apocynaceae","Apocynaceae","Apocynaceae sp. Z","","Apocynaceae sp. Z","APO_Z","","","CW",7,2002,2004,"","Apocynaceae",6701,"APO_Z-Apocynaceae sp. Z"
"Apocynaceae","Apocynaceae","Aspidosperma 'blancimpreso'","","Aspidosperma 'blancimpreso'","ASPIBL","ASPIBL","T","TC",383,2000,2018,"","Aspidosperma",7316607,"ASPIBL-Aspidosperma 'blancimpreso'"
"Apocynaceae","Apocynaceae","Aspidosperma darienense","Woodson ex Dwyer","Aspidosperma darienense","ASPIDA","ASPIDA","T","TC",27,2001,2014,"","Aspidosperma darienense",10398357,"ASPIDA-Aspidosperma darienense"
"Apocynaceae","Apocynaceae","Aspidosperma megalocarpon","Müll. Arg.","Aspidosperma 'grandis'","ASPIGR","ASPIME","T","TC",94,2000,2014,"","Aspidosperma megalocarpon",7316950,"ASPIGR-ASPIME-Aspidosperma 'grandis'"
"Apocynaceae","Apocynaceae","Aspidosperma rigidum","Rusby","Aspidosperma rigidum","ASPIRI","ASPIRI","T","TC",5,2001,2012,"","Aspidosperma rigidum",3616924,"ASPIRI-Aspidosperma rigidum"
"Apocynaceae","Apocynaceae","Forsteronia acouci","(Aubl.) A. DC.","Fosteronia acouci","FOSTAC","","","CW",708,2000,2018,"","Forsteronia acouci",3618404,"FOSTAC-Fosteronia acouci"
"Apocynaceae","Apocynaceae","Forsteronia affinis","Müll. Arg.","Fosteronia affinis","FOSTAF","","","CW",913,2000,2018,"","Forsteronia affinis",3618369,"FOSTAF-Fosteronia affinis"
"Apocynaceae","Apocynaceae","Himatanthus sucuuba","(Spruce ex Müll. Arg.) Woodson","Himatanthus sucuuba","HIMASU","HIMASU","T","TC",54,2000,2016,"","Himatanthus articulatus",3621740,"HIMASU-Himatanthus sucuuba"
"Apocynaceae","Apocynaceae","Lacmellea lactescens","(Kulm.) Markgr.","Lacmellea lactescens","LACMLA","LACMLA","T","TC",6,2006,2017,"","Lacmellea edulis",3618040,"LACMLA-Lacmellea lactescens"
"Apocynaceae","Apocynaceae","Lacmellea oblongata","Markgr.","Lacmellea  'ramalada'","LACMRA","LACMOB","U","TU",13,2012,2017,"","Lacmellea oblongata",3617848,"LACMRA-LACMOB-Lacmellea  'ramalada'"
"Apocynaceae","Apocynaceae","Mandevilla sp. A","","Mandevilla sp. A","MAN_A","","","CH",79,2004,2015,"","Mandevilla",3169658,"MAN_A-Mandevilla sp. A"
"Apocynaceae","Apocynaceae","Mandevilla sp. B","","Mandevilla sp. B","MAN_B","","","CH",65,2007,2017,"","Mandevilla",3169658,"MAN_B-Mandevilla sp. B"
"Apocynaceae","Asclepiadaceae","Metalepis albiflora","Urb.","Metalepis albiflora","METAAL","","","CW",49,2000,2017,"Adult voucher awaiting ID confirmation.","Cynanchum subpaniculatum",3574537,"METAAL-Metalepis albiflora"
"Apocynaceae","Asclepiadaceae","Metalepis sp. A","","Asclepiadaceae sp. A (2)","ASCL_A","","","CW",9,2002,2018,"",NA,3170354,"ASCL_A-Asclepiadaceae sp. A (2)"
"Apocynaceae","Apocynaceae","Odontadenia puncticulosa","(Rich.) Pulle","Odontadenia puncticulosa","ODONPU","","","CW",4,2007,2016,"","Odontadenia puncticulosa",3616386,"ODONPU-Odontadenia puncticulosa"
"Apocynaceae","Apocynaceae","Odontadenia sp. A","","Odontodenia sp. A","ODON_A","","","CW",473,2000,2018,"Probably Odontadenia stemmadeniifolia Woodson.","Odontadenia",7316739,"ODON_A-Odontodenia sp. A"
"Apocynaceae","Apocynaceae","Odontadenia sp. B","","Odontodenia sp. B","ODON_B","","","CW",3,2001,2001,"Possibly equals ODON_A.","Odontadenia",7316739,"ODON_B-Odontodenia sp. B"
"Apocynaceae","Apocynaceae","Rauvolfia praecox","K. Schum. ex Markgr.","Rauvolfia 'vertichica'","RAUVVE","RAUVPR","T","TC",460,2000,2018,"","Rauvolfia praecox",7580047,"RAUVVE-RAUVPR-Rauvolfia 'vertichica'"
"Apocynaceae","Apocynaceae","Tabernaemontana sananho","Ruiz & Pav.","Tabernaemontana sananho","TAB2SA","TABRSA","U","TU",7,2000,2016,"","Tabernaemontana sananho",3614389,"TAB2SA-TABRSA-Tabernaemontana sananho"
"Apocynaceae","Apocynaceae","Tassadia sp. AQ","","Apocynaceae sp. AQ","APO_AQ","","","CW",149,2003,2017,"Scan of adult voucher awaiting identification.","Tassadia",7311668,"APO_AQ-Apocynaceae sp. AQ"
"Araceae","Araceae","Anthurium cf. bonplandii","G.S. Bunting","Anthurium bonplandii","ANTHBO","","","XT",334,2008,2017,"Anthurium bonplandii not known from Ecuador.","Anthurium bonplandii",2872628,"ANTHBO-Anthurium bonplandii"
"Araceae","Araceae","Anthurium cf. griseum","Croat","Anthurium griseum","ANTHGR","","","EH",74,2006,2016,"","Anthurium griseum",8023409,"ANTHGR-Anthurium griseum"
"Araceae","Araceae","Anthurium cf. sinuatum","Benth. ex Schott","Anthurium sinuatum","ANTHSI","","","EH",1443,2001,2018,"Anthuirium sinuatum not know from Ecuador.","Anthurium sinuatum",2872356,"ANTHSI-Anthurium sinuatum"
"Araceae","Araceae","Anthurium sp. D","","Anthurium sp. D","ANTH_D","","","",1,2001,2001,"","Anthurium",2872218,"ANTH_D-Anthurium sp. D"
"Araceae","Araceae","Anthurium sp. H","","Anthurium sp. H","ANTH_H","","","EH",951,2001,2017,"","Anthurium",2872218,"ANTH_H-Anthurium sp. H"
"Araceae","Araceae","Anthurium sp. J ('palmata')","","Anthurium sp. J ('palmata')","ANTH_J","","","EH",33,2008,2010,"Temp-name 'palmata' because leaves palmate.","Anthurium",2872218,"ANTH_J-Anthurium sp. J ('palmata')"
"Araceae","Araceae","Araceae sp. AC","","Araceae sp. AC","ARA_AC","","","-",11,2002,2008,"","Araceae",6979,"ARA_AC-Araceae sp. AC"
"Araceae","Araceae","Araceae spp. (partes indet. a sp.)","","Araceae spp. (partes indet. a sp.)","ARA_PIN","","","-",2603,2000,2008,"Includes all unidentified aroid parts (mostly seeds) before 4-2008 with codes ARAxx (where xx equals the trap number or is absent) and a few unknowns. After this date samples assigned to specific codes.","Araceae",6979,"ARA_PIN-Araceae spp. (partes indet. a sp.)"
"Araceae","Araceae","Dieffenbachia sp. A","","Dieffenbachia sp. A","DIEF_A","","","XT",5,2000,2010,"","Dieffenbachia",2869330,"DIEF_A-Dieffenbachia sp. A"
"Araceae","Araceae","Dracontium longipes","Engl.","Dracontium longipes","DRACLO","","","XT",2,2002,2002,"","Dracontium longipes",5330705,"DRACLO-Dracontium longipes"
"Araceae","Araceae","Heteropsis flexuosa","(Kunth) G.S. Bunting","Heteropsis sp. A","HETE2_A","","","HL",29,2002,2018,"Adult sterile voucher awaiting ID confirmation.","Heteropsis flexuosa",5330225,"HETE2_A-Heteropsis sp. A"
"Araceae","Araceae","Heteropsis sp. B","","Heteropsis sp. B","HETE2_B","","","HL",6,2009,2015,"","Heteropsis",2867803,"HETE2_B-Heteropsis sp. B"
"Araceae","Araceae","Monstera obliqua","Miq.","Monstera obliqua","MONSOB","","","HV",102,2000,2017,"","Monstera obliqua",2868185,"MONSOB-Monstera obliqua"
"Araceae","Araceae","Philodendron 'platypodium'","","Philodendron 'platypodium'","PHILPL","","","HV",583,2003,2018,"Philodendron platypodium not known from Ecuador.","Philodendron",2861312,"PHILPL-Philodendron 'platypodium'"
"Araceae","Araceae","Philodendron sp. A","","Philodendron sp. A","PHIL_A","","","HV",16,2002,2008,"","Philodendron",2861312,"PHIL_A-Philodendron sp. A"
"Araceae","Araceae","Philodendron sp. B","","Philodendron sp. B","PHIL_B","","","HV",1,2006,2006,"","Philodendron",2861312,"PHIL_B-Philodendron sp. B"
"Araceae","Araceae","Syngonium sp. A","","Syngonium sp. A","SYN1_A","","","HV",4,2008,2017,"","Syngonium",2867833,"SYN1_A-Syngonium sp. A"
"Araceae","Araceae","Syngonium sp. B","","Syngonium sp. B","SYN1_B","","","HV",3,2008,2010,"","Syngonium",2867833,"SYN1_B-Syngonium sp. B"
"Araliaceae","Araliaceae","Dendropanax arboreus","(L.) Dec. & Planch","Dendropanax arboreus","DEN2AR","DENDAR","T","TC",303,2000,2017,"","Dendropanax arboreus",3035093,"DEN2AR-DENDAR-Dendropanax arboreus"
"Araliaceae","Araliaceae","Dendropanax caucanus","(Harms) Harms","Dendropanax 'grande'","DEN2GR","DENDCA","M","TM",538,2000,2016,"","Dendropanax caucanus",3035067,"DEN2GR-DENDCA-Dendropanax 'grande'"
"Araliaceae","Araliaceae","Dendropanax querceti","Donn. Sm.","Dendropanax 'quercetorum'","DEN2QU","DENDQU","S","SL",120,2000,2017,"","Dendropanax querceti",3034993,"DEN2QU-DENDQU-Dendropanax 'quercetorum'"
"Araliaceae","Araliaceae","Schefflera morototoni","(Aubl.) Maguire & Stey. & Frod.","Schefflera morototoni","SCH2MO","SCHEMO","T","TC",616,2000,2017,"","Didymopanax morototoni",3038523,"SCH2MO-SCHEMO-Schefflera morototoni"
"Arecaceae","Arecaceae","Aiphanes ulei","(Dammer) Burret","Aiphanes ulei","AIPHUL","AIPHUL","S","SL",35,2000,2018,"","Aiphanes ulei",2738687,"AIPHUL-Aiphanes ulei"
"Arecaceae","Arecaceae","Astrocaryum chambira","Burret","Astrocaryum chambira","AST1CH","ASTCCH","T","TC",598,2000,2018,"","Astrocaryum chambira",2738064,"AST1CH-ASTCCH-Astrocaryum chambira"
"Arecaceae","Arecaceae","Astrocaryum urostachys","Burret","Astrocaryum murumuru","AST1MU","ASTCMU","M","TM",70,2001,2018,"New ID as Astrocaryum urostachys in 2014-2018 plot lists.","Astrocaryum urostachys",2738111,"AST1MU-ASTCMU-Astrocaryum murumuru"
"Arecaceae","Arecaceae","Attalea cf. insignis","(Mart.) Drude","Attalea insignis cf.","ATTAIN","","","SS",4,2005,2007,"Stem subterranean (not aerial) hence not included in plot censuses.","Attalea insignis",2732824,"ATTAIN-Attalea insignis cf."
"Arecaceae","Arecaceae","Attalea maripa","(Aubl.) Mart.","Attalea maripa","ATTAMA","ATTAMA","T","TC",12,2001,2017,"","Attalea maripa",2732686,"ATTAMA-Attalea maripa"
"Arecaceae","Arecaceae","Bactris corossilla","H. Karst.","Bactris corossilla","BACTCO","BACTCO","S","SL",1,2003,2003,"","Bactris corossilla",2733242,"BACTCO-Bactris corossilla"
"Arecaceae","Arecaceae","Bactris maraja","Mart.","Bactris maraja","BACTMA","BACTMA","S","SL",2,2009,2013,"Two varieties included in plot code BACTMA. Trap 200 has var. juruensis. Trap 53 not identified to variety (maraja or juruensis).","Bactris maraja",2732946,"BACTMA-Bactris maraja"
"Arecaceae","Arecaceae","Bactris simplicifrons","Mart.","Bactris simplicifrons","BACTSI","BACTSI","S","SL",6,2006,2011,"","Bactris simplicifrons",2733215,"BACTSI-Bactris simplicifrons"
"Arecaceae","Arecaceae","Desmoncus giganteus","A.J. Hend.","Desmoncus orthacanthos","DESMOR","","","CW",25,2001,2016,"New ID 2013.","Desmoncus giganteus",2738830,"DESMOR-Desmoncus orthacanthos"
"Arecaceae","Arecaceae","Euterpe precatoria","Mart.","Euterpe precatoria","EUTEPR","EUTEPR","T","TM",130,2000,2017,"","Euterpe precatoria",5293425,"EUTEPR-Euterpe precatoria"
"Arecaceae","Arecaceae","Geonoma aspidifolia","Spruce","Geonoma 'comun'","GEONCO","GEONCO","S","SL",282,2000,2018,"","Geonoma aspidiifolia",2734141,"GEONCO-Geonoma 'comun'"
"Arecaceae","Arecaceae","Geonoma brongniartii","Mart.","Geonoma brongniartii","GEONBR","","","SS",3,2000,2011,"Palm stem < 1 m tall hence not included in plot censuses.","Geonoma brongniartii",2734168,"GEONBR-Geonoma brongniartii"
"Arecaceae","Arecaceae","Geonoma macrostachys","Mart.","Geonoma sp. A","GEON_A","","","SS",34,2000,2017,"Palm stem < 1 m tall hence not included in plot censuses.","Geonoma macrostachys",2734267,"GEON_A-Geonoma sp. A"
"Arecaceae","Arecaceae","Geonoma maxima","(Poit.) Kunth","Geonoma maxima","GEONMA","GEONMA","S","SL",57,2001,2017,"","Geonoma maxima",2734176,"GEONMA-Geonoma maxima"
"Arecaceae","Arecaceae","Geonoma stricta var. stricta","(Poit.) Kunth","Geonoma stricta","GEONST","GEONST","S","SL",7,2000,2006,"Both varieties included in plot code GEONST. Only var. stricta in traps. Var. piscicauda rare on plot.","Geonoma stricta",7394764,"GEONST-Geonoma stricta"
"Arecaceae","Arecaceae","Geonoma triglochin","Burrett","Geonoma triglochin","GEONTR","GEONTR","S","SL",13,2003,2016,"","Geonoma triglochin",2734265,"GEONTR-Geonoma triglochin"
"Arecaceae","Arecaceae","Hyospathe elegans","Mart.","Hyospathe elegans","HYOSEL","HYOSEL","S","SL",5,2002,2010,"","Hyospathe elegans",2736706,"HYOSEL-Hyospathe elegans"
"Arecaceae","Arecaceae","Iriartea deltoidea","Ruiz & Pav.","Iriartea deltoidea","IRIADE","IRIADE","T","TM",17376,2000,2018,"","Iriartea deltoidea",2739059,"IRIADE-Iriartea deltoidea"
"Arecaceae","Arecaceae","Mauritia flexuosa","L.f.","Mauritia flexuosa","MAURFL","MAURFL","T","TC",226,2000,2018,"","Mauritia flexuosa",5294777,"MAURFL-Mauritia flexuosa"
"Arecaceae","Arecaceae","Oenocarpus bataua","Mart.","Oenocarpus bataua","OENOBA","OENOBA","T","TC",1500,2000,2018,"","Oenocarpus bataua",2735462,"OENOBA-Oenocarpus bataua"
"Arecaceae","Arecaceae","Oenocarpus mapora","H. Karst.","Oenocarpus mapora","OENOMA","OENOMA","M","TM",2,2002,2005,"","Oenocarpus mapora",2735446,"OENOMA-Oenocarpus mapora"
"Arecaceae","Arecaceae","Phytelephas tenuicaulis","(Barfod) A.J. Hend.","Phytelephas tenuicaulis","PHYTTE","PHYTTE","U","TU",7,2006,2016,"","Phytelephas tenuicaulis",2736286,"PHYTTE-Phytelephas tenuicaulis"
"Arecaceae","Arecaceae","Prestoea schultzeana","(Burret) H.E. Moore","Prestoea schultzeana","PRESSC","PRESSC","S","TU",149,2000,2017,"","Prestoea schultzeana",2738938,"PRESSC-Prestoea schultzeana"
"Arecaceae","Arecaceae","Socratea exorrhiza","(Mart.) H. Wendl.","Socratea exorrhiza","SOCREX","SOCREX","T","TC",41,2000,2017,"","Socratea exorrhiza",2732453,"SOCREX-Socratea exorrhiza"
"Arecaceae","Arecaceae","Wettinia maynensis","Spruce","Wettinia maynensis","WETTMA","WETTMA","M","TM",208,2000,2018,"","Wettinia maynensis",2737000,"WETTMA-Wettinia maynensis"
"Aristolochiaceae","Aristolochiaceae","Aristolochia sp. A","","Aristolochia sp. A","ARIS_A","","","CW",457,2000,2018,"No adult voucher yet. Unsure if mixed collection of similar parts (mostly seeds).","Aristolochia",2873978,"ARIS_A-Aristolochia sp. A"
