Genus,SpeciesName,Mnemonic,Family,Authority,Idlevel
Coussarea,brevi,COUSBR,Rubiaceae,,genus
Coussarea,cephaeloides,COUSCE,Rubiaceae,C.M. Taylor,species
Coussarea,dulcifolia,COUSDU,Rubiaceae,"D.A. Neill, Cer n & C.M. Taylor",species
Coussarea,klugii,COUSKL,Rubiaceae,Steyerm.,species
Cremastosperma,cauliflorum,CREMCA,Annonaceae,R.E. Fr.,species
Cremastosperma,gracilipes,CREMGR,Annonaceae,R.E. Fr.,species
Crepidospermum,goudotianum,CREPGO,Burseraceae,(Tul.) Triana & Planch.,species
Crepidospermum,rhoifolium,CREPRH,Burseraceae,(Benth.) Triana & Planch.,species
Croton,lechleri,CROTLE,Euphorbiaceae,M ll. Arg.,species
Cryptocarya,yasuniensis,CRYPNO,Lauraceae,P.L.R. de Moraes & van der Werff,species
Cuatresia,glabra,CUATGL,Solanaceae,,genus
Cupania,cinerea,CUPACI,Sapindaceae,Poepp.,species
Cupania,livida,CUPALI,Sapindaceae,(Radlk.) Croat,species
Cyathea,lasiosora,CYATLA,Cyatheaceae,(Mett. ex Kuhn) Domin,species
Cyathea,pungens,CYATPU,Cyatheaceae,(Willd.) Domin,species
Cybianthus,anthuriophyllus,CYBIAN,Primulaceae,Pipoly,species
Cybianthus,perseon,CYBIPE,Primulaceae,,genus
Cymbopetalum,coriaceum,CYMBCO,Annonaceae,N.A. Murray,species
Dacryodes,gorda,DACRGO,Burseraceae,,genus
Dacryodes,peruviana,DACRPE,Burseraceae,(Loes.) H.J. Lam,species
Dalbergia,frutescens,DALBFR,Fabaceae,(Vell.) Britton,species
Dalbergia,nigrescens,DALBNI,Fabaceae,Kurz,species
Dendrobangia,boliviana,DENBBO,Cardiopteridaceae,Rusby,species
Dendropanax,arboreus,DENDAR,Araliaceae,(L.) Dec. & Planch,species
Dendropanax,caucanus,DENDCA,Araliaceae,(Harms) Harms,species
Dendropanax,querceti,DENDQU,Araliaceae,Donn. Sm.,species
Dialium,guianense,DIALGU,Fabaceae,(Aubl.) Sandwith,species
Dilkea,parviflora,DILKPA,Passifloraceae,Killip,species
Diospyros,artanthifolia,DIOSAR,Ebenaceae,Mart. ex Miq.,species
Diospyros,capreifolia,DIOSCR,Ebenaceae,Mart. ex Hiern,species
Diospyros,ekodul,DIOSEK,Ebenaceae,B. Walln.,species
Diospyros,pseudoxylopia,DIOSPS,Ebenaceae,Mildbr.,species
Diospyros,subrotata,DIOSSU,Ebenaceae,Hiern,species
Diploon,cuspidatum,DIPOCU,Sapotaceae,(Hoehne) Cronquist,species
Diplotropis,pterochic,DIPLPT,Fabaceae,,genus
Diplotropis,purpurea,DIPLPU,Fabaceae,(Rich.) Amshoff,species
Discophora,guianensis,DISCGU,Stemonuraceae,Miers,species
Drypetes,amazonica,DRYPAM,Putranjivaceae,Steyerm.,species
Drypetes,papilosa,DRYPPA,Putranjivaceae,,genus
Drypetes,variabilis,DRYPVA,Euphorbiaceae,Uittien,species
Duguetia,cortaten,DUGUCO,Annonaceae,,genus
Duguetia,hadrantha,DUGUHA,Annonaceae,(Diels) R.E. Fr.,species
Duguetia,quitarensis,DUGUQU,Annonaceae,Benth.,species
Duguetia,spixiana,DUGUSP,Annonaceae,Mart.,species
Duguetia,surinamensis,DUGUSU,Annonaceae,R.E. Fr.,species
Dulacia,candida,DULACA,Olacaceae,(Poepp.) Kuntze,species
Duroia,hirsuta,DUROHI,Rubiaceae,(Poepp.) K. Schum.,species
Dussia,delgada,DUSSDE,Fabaceae,,genus
Dussia,pelosblancos,DUSSPE,Fabaceae,,genus
Dussia,tessmannii,DUSSTE,Fabaceae,Harms,species
Ecclinusa,angostaestipul,ECCLAN,Sapotaceae,,genus
Ecclinusa,guianensis,ECCLGU,Sapotaceae,Eyma,species
Elaeoluma,glabrescens,ELAEGL,Sapotaceae,(Mart. & Eichler) Aubr v.,species
Endlicheria,bracteata,ENDLBR,Lauraceae,Mez,species
Endlicheria,burbujas,ENDLBU,Lauraceae,,genus
Endlicheria,canescens,ENDLCA,Lauraceae,Chanderbali,species
Endlicheria,directonervia,ENDLTE,Lauraceae,C.K. Allen,species
Endlicheria,dori,ENDLDO,Lauraceae,,genus
Endlicheria,falsadyso,ENDLFA,Lauraceae,,genus
Endlicheria,formosa,ENDLFO,Lauraceae,A.C. Sm.,species
Endlicheria,krukovii,ENDLKR,Lauraceae,(A.C. Sm.) Kosterm.,species
Endlicheria,platagigante,ENDLPL,Lauraceae,,genus
Endlicheria,sericea,ENDLSE,Lauraceae,Nees,species
Endlicheria,tschudyana,ENDLTS,Lauraceae,(Lasser) Kosterm.,species
Enterolobium,barnebianum,ENTEBA,Fabaceae,Mesquita & M. F. Silva,species
Eriotheca,globosa,ERIOGL,Malvaceae,(Aubl.) A. Robyns,species
Erisma,uncinatum,ERISUN,Vochysiaceae,Warm. in Mart.,species
Erythrina,amazonica,ERYNAM,Fabaceae,Krukoff,species
Erythroxylum,gracilipes,ERYOGR,Erythroxylaceae,Peyr. in Mart.,species
Erythroxylum,macrophyllum,ERYOMA,Erythroxylaceae,Plowman,species
Erythroxylum,squamatum,ERYOSQ,Erythroxylaceae,Sw.,species
Eschweilera,andina,ESCHAN,Lecythidaceae,(Rusby) Macbr.,species
Eschweilera,bracteosa,ESCHBR,Lecythidaceae,(Poepp. ex O. Berg) Miers,species
Eschweilera,coriacea,ESCHCO,Lecythidaceae,(DC.) S.A. Mori,species
Eschweilera,giga,ESCHGI,Lecythidaceae,,genus
Eschweilera,gigantea,ESCHGG,Lecythidaceae,(Knuth) J.F. Macbr.,species
Eschweilera,gigarco,ESCHGR,Lecythidaceae,,genus
Eschweilera,juruensis,ESCHJU,Lecythidaceae,Kunth,species
Eschweilera,rufifolia,ESCHRU,Lecythidaceae,S.A. Mori,species
Esenbeckia,amazonica,ESENAM,Rutaceae,Kaastra,species
Eugenia,egensis,EUGEEG,Myrtaceae,DC.,species
Eugenia,feijoi,EUGEFE,Myrtaceae,O. Berg,species
Eugenia,florida,EUGEFL,Myrtaceae,DC.,species
Eugenia,granvariable,EUGEGV,Myrtaceae,,genus
Eugenia,lambertiana,EUGELA,Myrtaceae,DC.,species
Eugenia,longisepala,EUGEGR,Myrtaceae,M.L. Kawas. & B. Holst,species
Eugenia,macrocalyx,EUGEMC,Myrtaceae,(Rusby) McVaugh,species
Eugenia,margot,EUGEMA,Myrtaceae,,genus
Eugenia,medioperp-rojo,EUGEME,Myrtaceae,,genus
Eugenia,medioperp-verde,EUGEMV,Myrtaceae,,genus
Eugenia,membranegra,EUGEMN,Myrtaceae,,genus
Eugenia,multirimosa,EUGEMU,Myrtaceae,McVaugh,species
Eugenia,panosadorada,EUGEPA,Myrtaceae,,genus
