"Genus","SpeciesName","Mnemonic","Family","Authority","Idlevel","Species","gbif_accepted_scientific_name","gbif_accepted_taxon_id","taxon_code"
"Vochysia","braceliniae","VOCHBR","Vochysiaceae","Standl.","species","Vochysia braceliniae","Vochysia braceliniae",4030673,"VOCHBR-Vochysia braceliniae"
"Vochysia","grandis","VOCHGR","Vochysiaceae","Mart.","species","Vochysia grandis","Vochysia grandis",4030425,"VOCHGR-Vochysia grandis"
"Vouarana","anomala","VOURAN","Sapindaceae","(Steyerm.) Acev.-Rodr.","species","Vouarana anomala","Vouarana anomala",3785412,"VOURAN-Vouarana anomala"
"Warszewiczia","coccinea","WARSCC","Rubiaceae","(Vahl) Klotzsch","species","Warszewiczia coccinea","Warszewiczia coccinea",5340116,"WARSCC-Warszewiczia coccinea"
"Warszewiczia","cordata","WARSCO","Rubiaceae","Spruce ex K. Schum.","species","Warszewiczia cordata","Warszewiczia cordata",5340130,"WARSCO-Warszewiczia cordata"
"Wettinia","maynensis","WETTMA","Arecaceae","Spruce","species","Wettinia maynensis","Wettinia maynensis",2737000,"WETTMA-Wettinia maynensis"
"Wittmackanthus","stanleyanus","WITTST","Rubiaceae","(R.H. Schomb.) Kuntze","species","Wittmackanthus stanleyanus","Wittmackanthus stanleyanus",2903398,"WITTST-Wittmackanthus stanleyanus"
"Xylopia","cuspidata","XYLOCU","Annonaceae","Diels","species","Xylopia cuspidata","Xylopia cuspidata",3157048,"XYLOCU-Xylopia cuspidata"
"Xylopia","sericea","XYLOLI","Annonaceae","A. St.-Hil.","species","Xylopia sericea","Xylopia sericea",3157040,"XYLOLI-Xylopia sericea"
"Yasunia","sessiliflora","ZZLASU","Lauraceae","van der Werff","species","Yasunia sessiliflora","Yasunia sessiliflora",8075855,"ZZLASU-Yasunia sessiliflora"
"Zanthoxylum","setulosum","ZANTSE","Rutaceae","P. Wilson","species","Zanthoxylum setulosum","Zanthoxylum setulosum",3834280,"ZANTSE-Zanthoxylum setulosum"
"Ziziphus","cinnamomum","ZIZICI","Rhamnaceae","Triana & Planch.","species","Ziziphus cinnamomum","Sarcomphalus cinnamomum",8994554,"ZIZICI-Ziziphus cinnamomum"
"Zygia","heteroneura","ZYGIHE","Fabaceae","Barneby & J.W. Grimes","species","Zygia heteroneura","Zygia heteroneura",5347420,"ZYGIHE-Zygia heteroneura"
