"gbif_accepted_taxon_id","gbif_accepted_scientific_name"
7897853,"Dacryodes uruts-kunchae"
2960229,"Dahlstedtia"
10691071,"Dahlstedtia hylobia"
2968824,"Dalbergia frutescens"
2968670,"Dalbergia riedelii"
7304488,"Damburneya"
9503920,"Damburneya purpurea"
3188467,"Daphnopsis"
3568065,"Daphnopsis equatorialis"
3570087,"Daphnopsis zamorensis"
7577914,"Deguelia"
3979782,"Deguelia utilis"
3035201,"Dendropanax macropodus"
3035070,"Dendropanax umbellatus"
3158298,"Diclinanona"
3158301,"Diclinanona calycina"
7268850,"Dictyoloma"
3831395,"Dictyoloma vandellianum"
7848675,"Diospyros artanthifolia"
5832390,"Diospyros capreifolia"
4070018,"Diospyros ekodul"
4070633,"Diospyros poeppigiana"
4160293,"Dipentodontaceae"
2883949,"Diploon"
2883950,"Diploon cuspidatum"
5355620,"Diplotropis martiusii"
5355625,"Diplotropis purpurea"
2947121,"Dipteryx"
2947131,"Dipteryx micrantha"
3075650,"Drypetes fanshawei"
3157546,"Duguetia flagellaris"
3157622,"Duguetia macrophylla"
3157626,"Duguetia odorata"
3157522,"Duguetia surinamensis"
2892122,"Duroia duckei"
2892109,"Duroia petiolaris"
2892126,"Duroia triflora"
7329965,"Dystovomita"
3711673,"Dystovomita paniculata"
2887353,"Ecclinusa"
2887376,"Ecclinusa guianensis"
2887358,"Ecclinusa lanceolata"
2887362,"Ecclinusa ramiflora"
4176881,"Endlicheria acuminata"
7969929,"Endlicheria anomala"
4176746,"Endlicheria bracteata"
4176663,"Endlicheria canescens"
4176647,"Endlicheria chalisea"
4176477,"Endlicheria dysodantha"
4176329,"Endlicheria gracilis"
4176133,"Endlicheria klugii"
4176111,"Endlicheria krukovii"
4176075,"Endlicheria lhotzkyi"
4176027,"Endlicheria lorastemon"
4175940,"Endlicheria metallica"
4175860,"Endlicheria paniculata"
7775672,"Endlicheria pyriformis"
4175705,"Endlicheria robusta"
4175667,"Endlicheria rubriflora"
4175656,"Endlicheria ruforamula"
4175646,"Endlicheria sericea"
4175627,"Endlicheria sprucei"
4175594,"Endlicheria tessmannii"
4073697,"Eriotheca longitubulosa"
7296185,"Eriotheca macrophylla"
7268971,"Ertela"
3832240,"Ertela trifolia"
2945830,"Erythrina"
5349510,"Erythrina amazonica"
5349562,"Erythrina peruviana"
5349755,"Erythrina poeppigiana"
5349570,"Erythrina ulei"
3232943,"Erythrochiton"
5593238,"Erythrochiton trichanthus"
7284809,"Erythroxylum citrifolium"
3694373,"Erythroxylum fimbriatum"
7284849,"Erythroxylum gracilipes"
7870294,"Erythroxylum macrophyllum"
7284878,"Erythroxylum mucronatum"
3694437,"Erythroxylum ulei"
3083413,"Eschweilera chartaceifolia"
3083328,"Eschweilera decolorans"
3083408,"Eschweilera grandiflora"
3083253,"Eschweilera itayensis"
3083251,"Eschweilera juruensis"
3083332,"Eschweilera laevicarpa"
3083227,"Eschweilera ovalifolia"
3083262,"Eschweilera parvifolia"
3083383,"Eschweilera tessmannii"
7268828,"Esenbeckia pentaphylla"
5417902,"Eugenia anastomosans"
5417812,"Eugenia biflora"
5416264,"Eugenia cuspidifolia"
5417951,"Eugenia dittocrepis"
5416834,"Eugenia egensis"
5416878,"Eugenia galalonensis"
5417237,"Eugenia heterochroma"
5417025,"Eugenia marowynensis"
5417081,"Eugenia mimus"
5417165,"Eugenia multirimosa"
5417226,"Eugenia muricata"
5416815,"Eugenia myrobalana"
5418017,"Eugenia oerstediana"
5417216,"Eugenia patens"
5417187,"Eugenia patrisii"
5418042,"Eugenia polystachya"
5416462,"Eugenia schunkei"
5938292,"Eugenia sericifolia"
5416629,"Eugenia speciosa"
5417551,"Eugenia stipitata"
5416514,"Eugenia subterminalis"
5293412,"Euterpe catinga"
2911000,"Exostema"
2898050,"Faramea anisocalyx"
2897937,"Faramea axillaris"
2897893,"Faramea exemplaris"
2898063,"Faramea glandulosa"
8295089,"Faramea multiflora"
3848244,"Faramea parvibractea"
2898105,"Faramea spathacea"
2898191,"Faramea tamberlikiana"
2897896,"Faramea verticillata"
2907987,"Ferdinandusa"
2907990,"Ferdinandusa chlorantha"
2908030,"Ferdinandusa elliptica"
2908017,"Ferdinandusa guainiae"
5569593,"Ficus acreana"
5572480,"Ficus albert-smithii"
5361926,"Ficus americana"
5571209,"Ficus brevibracteata"
5361918,"Ficus broadwayi"
5571084,"Ficus caballina"
5570874,"Ficus casapiensis"
5570828,"Ficus castellviana"
8381457,"Ficus ceronii"
5361938,"Ficus citrifolia"
5570348,"Ficus coerulescens"
5572269,"Ficus donnell-smithii"
5572086,"Ficus ecuadorensis"
7821690,"Ficus guianensis"
7262391,"Ficus jacobii"
5571803,"Ficus macbridei"
5571405,"Ficus mathewsii"
5571303,"Ficus membranacea"
5570509,"Ficus ocoana"
5570153,"Ficus padifolia"
5570374,"Ficus sphenophylla"
5572425,"Ficus tonduzii"
5361896,"Ficus trigonata"
5571847,"Ficus ursina"
5571280,"Ficus yoponensis"
7285769,"Froesia"
3986477,"Froesia diffusa"
3158135,"Fusaea"
3158137,"Fusaea longifolia"
3158136,"Fusaea peruviana"
7296394,"Fusispermum"
4075338,"Fusispermum laxiflorum"
3190389,"Galipea"
3834532,"Galipea maxima"
3714243,"Garcinia intermedia"
9611517,"Gaulettia"
8975055,"Gaulettia parillo"
7330862,"Geissanthus"
7362167,"Geissanthus ambigua"
2895592,"Genipa spruceana"
2734323,"Geonoma interrupta"
8052841,"Gloeospermum crassicarpum"
4074973,"Gloeospermum sclerophyllum"
7296361,"Gloeospermum sphaerocarpum"
2925650,"Gmelina"
8247889,"Gmelina arborea"
2896440,"Gonzalagunia"
2896533,"Gonzalagunia affinis"
2896507,"Gonzalagunia bunchosioides"
2896475,"Gonzalagunia cornifolia"
3189631,"Gordonia"
5528227,"Gordonia fruticosa"
7398997,"Graffenrieda"
5600054,"Graffenrieda galeottii"
5600046,"Graffenrieda gracilis"
5600029,"Graffenrieda intermedia"
3082328,"Grias peruviana"
4127579,"Guadua"
4155017,"Guadua angustifolia"
4128212,"Guadua superba"
4127578,"Guadua weberbaueri"
3849579,"Guarea carapoides"
3852792,"Guarea cinnamomea"
3852641,"Guarea cristata"
3190505,"Guarea glabra"
3154197,"Guatteria blepharophylla"
3155736,"Guatteria chrysophylla"
3155788,"Guatteria citriodora"
3155665,"Guatteria decurrens"
3648380,"Guatteria duodecima"
3158188,"Guatteria liesneri"
3155660,"Guatteria longicuspis"
3155955,"Guatteria megalophylla"
3155760,"Guatteria olivacea"
3155697,"Guatteria pastazae"
3648893,"Guatteria ramiflora"
3155905,"Guatteria schomburgkiana"
3155933,"Guatteria tomentosa"
3152194,"Guazuma"
3152195,"Guazuma ulmifolia"
9037320,"Gustavia hubbardiorum"
5383764,"Gustavia macarenensis"
5383852,"Gustavia terminaliflora"
7265395,"Gymnosporia"
7296137,"Gyranthera"
8249191,"Gyranthera amphibiolepis"
2902033,"Hamelia"
2902047,"Hamelia axillaris"
6401269,"Handroanthus"
6401337,"Handroanthus chrysanthus"
4092017,"Handroanthus serratifolius"
7329959,"Havetiopsis"
7754677,"Haydenoxylon"
7743395,"Haydenoxylon urbanianum"
8323858,"Heisteria latifolia"
7944805,"Heisteria spruceana"
3764964,"Helicostylis elegans"
3764948,"Helicostylis heterotricha"
3764842,"Helicostylis scabra"
3764804,"Helicostylis turbinata"
3152062,"Heliocarpus"
4259460,"Heliocarpus americanus"
10928821,"Heliotropium glabrum"
3860882,"Henriettea lasiostylis"
3860536,"Henriettea stellaris"
3668417,"Herrania balaensis"
7322902,"Herrania mariae"
3668149,"Herrania nycterodendron"
3071171,"Hevea brasiliensis"
3079119,"Hieronyma oblonga"
2916438,"Hillia"
5339997,"Hillia illustris"
7317391,"Himatanthus bracteatus"
2901965,"Hippotis"
2901978,"Hippotis albiflora"
10750240,"Hippotis ecuatoriana"
2901969,"Hippotis mollis"
2985222,"Hirtella aequatoriensis"
2985148,"Hirtella americana"
2985124,"Hirtella bicornis"
2985171,"Hirtella elongata"
2985186,"Hirtella gracilipes"
7827492,"Hirtella macrophylla"
2985224,"Hirtella pilosissima"
2985122,"Hirtella racemosa"
2985089,"Hirtella triandra"
2874142,"Homalium"
5331157,"Homalium racemosum"
7296129,"Huberodendron"
4073137,"Huberodendron swietenioides"
3071143,"Hura"
5380015,"Hura crepitans"
2977474,"Hydrochorea"
2977475,"Hydrochorea corymbosa"
2951895,"Hymenolobium heterocarpum"
10863253,"Hymenopus arachnoideus"
10451142,"Hymenopus heteromorphus"
10477239,"Hymenopus intrapetiolaris"
10677998,"Hymenopus krukovii"
9931046,"Hymenopus reticulatus"
10792217,"Ilex"
5534620,"Ilex guayusa"
5534043,"Ilex inundata"
7315694,"Ilex laureola"
7315851,"Ilex magnifructa"
5357674,"Inga acrocephala"
5357542,"Inga acuminata"
5358137,"Inga alba"
5357658,"Inga chartacea"
5357813,"Inga ciliata"
5357627,"Inga coruscans"
5357876,"Inga cylindrica"
5357837,"Inga densiflora"
5357677,"Inga edulis"
5357873,"Inga glomeriflora"
5357555,"Inga gracilior"
5358131,"Inga ilta"
5357784,"Inga macrophylla"
5357635,"Inga multijuga"
5357519,"Inga nobilis"
5357798,"Inga paraensis"
5357576,"Inga pezizifera"
5358111,"Inga pilosula"
5357609,"Inga pruriens"
5358090,"Inga psittacorum"
5357939,"Inga rusbyi"
5357706,"Inga sapindoides"
5357619,"Inga sertulifera"
5358104,"Inga splendens"
5357558,"Inga stenoptera"
5358071,"Inga stipulacea"
5357920,"Inga striolata"
5357951,"Inga suaveolens"
5358126,"Inga tessmannii"
5357991,"Inga thibaudiana"
5357881,"Inga venusta"
5357680,"Inga vera"
5357777,"Inga yasuniana"
6402978,"Iochroma"
7300028,"Iochroma gesnerioides"
3744069,"Iryanthera crassifolia"
3743937,"Iryanthera laevis"
3743924,"Iryanthera lancifolia"
3743885,"Iryanthera macrophylla"
3743197,"Iryanthera tessmannii"
2903511,"Isertia"
2903546,"Isertia laevis"
2903519,"Isertia pittieri"
2903522,"Isertia rosea"
10808513,"Ixora froelichiana"
10840154,"Ixora moskovitsiana"
2905468,"Ixora peruviana"
10757302,"Ixora rudasiana"
10758117,"Ixora rudgeoides"
2905760,"Ixora sparsifolia"
2905864,"Ixora yavitensis"
