#Label,X/Longitude,Y/Latitude,Z/Altitude
DJI_20241121092108_0102_V.JPG,-79.846683,9.150932,237.243
DJI_20241121092109_0103_V.JPG,-79.846599,9.150929,235.581
DJI_20241121092110_0104_V.JPG,-79.846513,9.150926,233.788
DJI_20241121092111_0105_V.JPG,-79.846424,9.150923,234.093
DJI_20241121092112_0106_V.JPG,-79.846338,9.15092,234.289
DJI_20241121092113_0107_V.JPG,-79.846251,9.150917,234.532
DJI_20241121092114_0108_V.JPG,-79.846165,9.150914,234.814
DJI_20241121092116_0109_V.JPG,-79.846069,9.150921,235.273
DJI_20241121092117_0110_V.JPG,-79.846027,9.150982,235.427
DJI_20241121092119_0111_V.JPG,-79.846032,9.151063,235.963
DJI_20241121092121_0112_V.JPG,-79.846096,9.151101,236.224
DJI_20241121092122_0113_V.JPG,-79.84617,9.151105,236.369
DJI_20241121092123_0114_V.JPG,-79.846261,9.151109,236.574
DJI_20241121092124_0115_V.JPG,-79.846349,9.151112,236.8
DJI_20241121092125_0116_V.JPG,-79.846439,9.151115,236.481
DJI_20241121092126_0117_V.JPG,-79.846526,9.151119,237.031
DJI_20241121092127_0118_V.JPG,-79.846612,9.151122,237.717
DJI_20241121092128_0119_V.JPG,-79.846697,9.151124,238.259
DJI_20241121092129_0120_V.JPG,-79.846786,9.151127,239.138
DJI_20241121092130_0121_V.JPG,-79.846873,9.15113,240.051
DJI_20241121092131_0122_V.JPG,-79.846959,9.151133,241.199
DJI_20241121092132_0123_V.JPG,-79.847049,9.151136,241.859
DJI_20241121092133_0124_V.JPG,-79.847133,9.151139,242.29
DJI_20241121092134_0125_V.JPG,-79.847223,9.151142,242.541
DJI_20241121092135_0126_V.JPG,-79.847313,9.151145,244.867
DJI_20241121092136_0127_V.JPG,-79.847393,9.151148,245.965
DJI_20241121092137_0128_V.JPG,-79.847481,9.151151,247.262
DJI_20241121092138_0129_V.JPG,-79.847572,9.151154,246.959
DJI_20241121092139_0130_V.JPG,-79.847657,9.151157,245.753
DJI_20241121092140_0131_V.JPG,-79.847743,9.15116,245.183
DJI_20241121092141_0132_V.JPG,-79.84783,9.151163,244.802
DJI_20241121092142_0133_V.JPG,-79.847916,9.151166,246.767
DJI_20241121092143_0134_V.JPG,-79.848,9.151169,249.174
DJI_20241121092144_0135_V.JPG,-79.848098,9.151172,252.77
DJI_20241121092145_0136_V.JPG,-79.848172,9.151175,254.484
DJI_20241121092146_0137_V.JPG,-79.848284,9.151178,255.386
DJI_20241121092147_0138_V.JPG,-79.84836,9.151181,255.915
DJI_20241121092148_0139_V.JPG,-79.848441,9.151184,256.419
DJI_20241121092149_0140_V.JPG,-79.848531,9.151187,257.359
